"tm","won"
"ATL_2015",8
"ATL_2010",4
"ATL_2009",4
"ATL_2016",4
"ATL_2011",6
"ATL_2012",2
"ATL_2017",2
"ATL_2021",10
"ATL_2013",2
"ATL_2008",3
"ATL_2014",3
"ATL_2022",1
"BOS_2008",16
"BOS_2017",9
"BOS_2009",7
"BOS_2018",11
"BOS_2022",14
"BOS_2002",9
"BOS_2005",3
"BOS_2011",5
"BOS_2020",10
"BOS_2010",15
"BOS_2012",11
"BOS_2019",5
"BOS_2016",2
"BOS_2003",4
"BOS_2013",2
"BOS_2015",0
"BOS_2021",1
"BOS_2004",0
"BRK_2021",7
"BRK_2013",3
"BRK_2014",5
"BRK_2019",1
"BRK_2020",0
"BRK_2022",0
"BRK_2015",2
"CHA_2010",0
"CHA_2014",0
"CHH_2000",1
"CHH_2002",4
"CHH_2001",6
"CHH_2016",3
"CHI_2011",9
"CHI_2012",2
"CHI_2015",6
"CHI_2005",2
"CHI_2014",1
"CHI_2007",6
"CHI_2013",5
"CHI_2022",1
"CHI_2006",2
"CHI_2009",3
"CHI_2010",1
"CHI_2017",2
"CLE_2009",10
"CLE_2010",6
"CLE_2016",16
"CLE_2007",12
"CLE_2015",14
"CLE_2017",13
"CLE_2006",7
"CLE_2008",7
"CLE_2018",12
"DAL_2007",2
"DAL_2010",2
"DAL_2003",10
"DAL_2011",16
"DAL_2002",4
"DAL_2005",6
"DAL_2006",14
"DAL_2022",9
"DAL_2001",4
"DAL_2004",1
"DAL_2021",3
"DAL_2009",5
"DAL_2016",1
"DAL_2008",1
"DAL_2012",0
"DAL_2015",1
"DAL_2020",2
"DAL_2014",3
"DEN_2009",10
"DEN_2019",7
"DEN_2006",1
"DEN_2013",2
"DEN_2020",9
"DEN_2021",4
"DEN_2010",2
"DEN_2011",1
"DEN_2007",1
"DEN_2012",3
"DEN_2022",1
"DEN_2005",1
"DEN_2004",1
"DEN_2008",0
"DET_2003",8
"DET_2006",10
"DET_2007",10
"DET_2002",4
"DET_2005",15
"DET_2008",10
"DET_2004",16
"DET_2000",0
"DET_2009",0
"DET_2016",0
"DET_2019",0
"GSW_2015",16
"GSW_2016",15
"GSW_2017",16
"GSW_2019",14
"GSW_2018",16
"GSW_2022",16
"GSW_2013",6
"GSW_2014",3
"GSW_2007",5
"HOU_2018",11
"HOU_2015",9
"HOU_2017",6
"HOU_2014",2
"HOU_2019",6
"HOU_2020",5
"HOU_2005",3
"HOU_2007",3
"HOU_2008",2
"HOU_2009",7
"HOU_2004",1
"HOU_2013",2
"HOU_2016",1
"IND_2000",13
"IND_2004",10
"IND_2014",10
"IND_2003",2
"IND_2012",6
"IND_2013",11
"IND_2020",0
"IND_2018",3
"IND_2019",0
"IND_2005",6
"IND_2006",2
"IND_2016",3
"IND_2017",0
"IND_2001",1
"IND_2002",2
"IND_2011",1
"LAC_2020",7
"LAC_2014",6
"LAC_2015",7
"LAC_2013",2
"LAC_2016",2
"LAC_2017",3
"LAC_2021",10
"LAC_2012",4
"LAC_2006",7
"LAC_2019",2
"LAL_2000",15
"LAL_2008",14
"LAL_2009",16
"LAL_2010",16
"LAL_2020",16
"LAL_2001",15
"LAL_2004",13
"LAL_2011",4
"LAL_2002",15
"LAL_2012",5
"LAL_2003",6
"LAL_2006",3
"LAL_2007",1
"LAL_2013",0
"LAL_2021",2
"MEM_2022",6
"MEM_2012",3
"MEM_2006",0
"MEM_2013",8
"MEM_2015",6
"MEM_2004",0
"MEM_2014",3
"MEM_2016",0
"MEM_2017",2
"MEM_2005",0
"MEM_2011",7
"MEM_2021",1
"MIA_2005",11
"MIA_2013",16
"MIA_2022",11
"MIA_2000",6
"MIA_2006",16
"MIA_2011",14
"MIA_2012",16
"MIA_2014",13
"MIA_2001",0
"MIA_2016",7
"MIA_2004",6
"MIA_2007",0
"MIA_2009",3
"MIA_2010",1
"MIA_2020",14
"MIA_2018",1
"MIA_2021",0
"MIL_2019",10
"MIL_2020",5
"MIL_2001",10
"MIL_2021",16
"MIL_2022",7
"MIL_2004",1
"MIL_2010",3
"MIL_2015",2
"MIL_2017",2
"MIL_2003",2
"MIL_2018",3
"MIL_2000",2
"MIL_2006",1
"MIL_2013",0
"MIN_2004",10
"MIN_2003",2
"MIN_2002",0
"MIN_2000",1
"MIN_2022",2
"MIN_2001",1
"MIN_2018",1
"NJN_2002",11
"NJN_2003",14
"NJN_2004",7
"NJN_2006",5
"NJN_2007",6
"NJN_2005",0
"NOH_2008",7
"NOH_2003",2
"NOH_2004",3
"NOH_2009",1
"NOH_2011",2
"NOP_2018",5
"NOP_2015",0
"NOP_2022",2
"NYK_2013",6
"NYK_2000",9
"NYK_2001",2
"NYK_2021",1
"NYK_2011",0
"NYK_2004",0
"NYK_2012",1
"OKC_2013",5
"OKC_2012",13
"OKC_2014",10
"OKC_2016",11
"OKC_2011",9
"OKC_2018",2
"OKC_2020",3
"OKC_2017",1
"OKC_2019",1
"OKC_2010",2
"ORL_2010",10
"ORL_2008",5
"ORL_2009",13
"ORL_2011",2
"ORL_2002",1
"ORL_2012",1
"ORL_2001",1
"ORL_2019",1
"ORL_2003",3
"ORL_2007",0
"ORL_2020",1
"PHI_2001",12
"PHI_2021",7
"PHI_2018",5
"PHI_2019",7
"PHI_2003",6
"PHI_2022",6
"PHI_2000",5
"PHI_2002",2
"PHI_2009",2
"PHI_2020",0
"PHI_2005",1
"PHI_2008",2
"PHI_2011",1
"PHI_2012",7
"PHO_2005",9
"PHO_2022",7
"PHO_2006",10
"PHO_2007",6
"PHO_2021",14
"PHO_2010",10
"PHO_2000",4
"PHO_2001",1
"PHO_2008",1
"PHO_2003",2
"POR_2000",10
"POR_2018",0
"POR_2019",8
"POR_2009",2
"POR_2015",1
"POR_2014",5
"POR_2016",5
"POR_2002",0
"POR_2003",3
"POR_2010",2
"POR_2011",2
"POR_2021",2
"POR_2001",0
"POR_2017",0
"POR_2020",1
"SAC_2002",10
"SAC_2003",7
"SAC_2001",3
"SAC_2004",7
"SAC_2005",1
"SAC_2000",2
"SAC_2006",2
"SAS_2001",7
"SAS_2003",16
"SAS_2006",7
"SAS_2011",2
"SAS_2012",10
"SAS_2014",16
"SAS_2002",4
"SAS_2005",16
"SAS_2013",15
"SAS_2016",6
"SAS_2017",8
"SAS_2004",6
"SAS_2007",16
"SAS_2008",9
"SAS_2009",1
"SAS_2000",1
"SAS_2015",3
"SAS_2010",4
"SAS_2018",1
"SAS_2019",3
"SEA_2005",6
"SEA_2000",2
"SEA_2002",2
"TOR_2018",4
"TOR_2016",10
"TOR_2019",16
"TOR_2020",7
"TOR_2007",2
"TOR_2014",3
"TOR_2017",4
"TOR_2015",0
"TOR_2001",6
"TOR_2022",2
"TOR_2000",0
"TOR_2008",1
"TOR_2002",2
"UTA_2021",6
"UTA_2000",4
"UTA_2001",2
"UTA_2007",9
"UTA_2008",6
"UTA_2010",4
"UTA_2017",4
"UTA_2018",5
"UTA_2019",1
"UTA_2022",2
"UTA_2020",3
"UTA_2003",1
"UTA_2002",1
"UTA_2009",1
"UTA_2012",0
"WAS_2017",7
"WAS_2005",4
"WAS_2006",2
"WAS_2008",2
"WAS_2014",6
"WAS_2015",6
"WAS_2007",0
"WAS_2018",2
"WAS_2021",1
